LOCATION CODE|COUNTY|AREA NAME|REGION|SCHOOL YEARS|NO. OVERWEIGHT|PCT OVERWEIGHT|NO. OBESE|PCT OBESE|NO. OVERWEIGHT OR OBESE|PCT OVERWEIGHT OR OBESE|GRADE LEVEL|AREA TYPE|STREET ADDRESS|CITY|STATE|ZIP CODE|Location 1
10623|ALBANY|NORTH COLONIE CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|94.0|15.5%|78.0|12.9%|172.0|28.4%|ELEMENTARY|SCHOOL DISTRICT|91 FIDDLERS LN|LATHAM|NY|12110.0|"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
10623|ALBANY|NORTH COLONIE CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|143.0|16.9%|147.0|17.3%|290.0|34.2%|MIDDLE/HIGH|SCHOOL DISTRICT|91 FIDDLERS LN|LATHAM|NY|12110.0|"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
10701|ALBANY|GREEN ISLAND UNION FREE SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|12.0|17.6%|19.0|27.9%|31.0|45.6%|DISTRICT TOTAL|SCHOOL DISTRICT|171 HUDSON AVE|GREEN ISLAND|NY|12183.0|"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
10701|ALBANY|GREEN ISLAND UNION FREE SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|||15.0|35.7%|15.0|35.7%|ELEMENTARY|SCHOOL DISTRICT|171 HUDSON AVE|GREEN ISLAND|NY|12183.0|"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
10701|ALBANY|GREEN ISLAND UNION FREE SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|||||||MIDDLE/HIGH|SCHOOL DISTRICT|171 HUDSON AVE|GREEN ISLAND|NY|12183.0|"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
10802|ALBANY|GUILDERLAND CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|192.0|13%|193.0|13.1%|385.0|26.1%|DISTRICT TOTAL|SCHOOL DISTRICT|8 SCHOOL RD|GUILDERLAND CENTER|NY|12085.0|"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
10802|ALBANY|GUILDERLAND CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|103.0|12.6%|113.0|13.8%|216.0|26.4%|ELEMENTARY|SCHOOL DISTRICT|8 SCHOOL RD|GUILDERLAND CENTER|NY|12085.0|"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
10802|ALBANY|GUILDERLAND CENTRAL SCHOOL DISTRICT|NORTHEASTERN NEW YORK|2012-2013|89.0|13.6%|80.0|12.2%|169.0|25.8%|MIDDLE/HIGH|SCHOOL DISTRICT|8 SCHOOL RD|GUILDERLAND CENTER|NY|12085.0|"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
20101|ALLEGANY|ALFRED ALMOND CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|35.0|21.1%|25.0|15.1%|60.0|36.1%|DISTRICT TOTAL|SCHOOL DISTRICT|6795 RT 21|ALMOND|NY|14804.0|"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
20101|ALLEGANY|ALFRED ALMOND CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|21.0|21.9%|9.0|9.4%|30.0|31.3%|ELEMENTARY|SCHOOL DISTRICT|6795 RT 21|ALMOND|NY|14804.0|"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
20101|ALLEGANY|ALFRED ALMOND CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|14.0|20.9%|13.0|19.4%|27.0|40.3%|MIDDLE/HIGH|SCHOOL DISTRICT|6795 RT 21|ALMOND|NY|14804.0|"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
21102|ALLEGANY|CANASERAGA CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|7.0|14.3%|15.0|30.6%|22.0|44.9%|DISTRICT TOTAL|SCHOOL DISTRICT|4-8 MAIN ST|CANASERAGA|NY|14822.0|"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
21102|ALLEGANY|CANASERAGA CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|||||||ELEMENTARY|SCHOOL DISTRICT|4-8 MAIN ST|CANASERAGA|NY|14822.0|"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
21102|ALLEGANY|CANASERAGA CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|||5.0|38.5%|5.0|38.5%|MIDDLE/HIGH|SCHOOL DISTRICT|4-8 MAIN ST|CANASERAGA|NY|14822.0|"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
21601|ALLEGANY|FRIENDSHIP CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|27.0|17.5%|29.0|18.8%|56.0|36.4%|DISTRICT TOTAL|SCHOOL DISTRICT|46 W MAIN ST|FRIENDSHIP|NY|14739.0|"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
21601|ALLEGANY|FRIENDSHIP CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|24.0|21.4%|15.0|13.4%|39.0|34.8%|ELEMENTARY|SCHOOL DISTRICT|46 W MAIN ST|FRIENDSHIP|NY|14739.0|"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
21601|ALLEGANY|FRIENDSHIP CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|||5.0|19.2%|5.0|19.2%|MIDDLE/HIGH|SCHOOL DISTRICT|46 W MAIN ST|FRIENDSHIP|NY|14739.0|"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
22101|ALLEGANY|WHITESVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|16.0|20.8%|14.0|18.2%|30.0|39%|DISTRICT TOTAL|SCHOOL DISTRICT|692 MAIN ST|WHITESVILLE|NY|14897.0|"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
22101|ALLEGANY|WHITESVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|8.0|22.2%|5.0|13.9%|13.0|36.1%|ELEMENTARY|SCHOOL DISTRICT|692 MAIN ST|WHITESVILLE|NY|14897.0|"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
22101|ALLEGANY|WHITESVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|8.0|33.3%|||8.0|33.3%|MIDDLE/HIGH|SCHOOL DISTRICT|692 MAIN ST|WHITESVILLE|NY|14897.0|"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
22601|ALLEGANY|WELLSVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|72.0|16.3%|84.0|19%|156.0|35.4%|DISTRICT TOTAL|SCHOOL DISTRICT|126 WEST STATE ST|WELLSVILLE|NY|14895.0|"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
22601|ALLEGANY|WELLSVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|43.0|15.8%|44.0|16.1%|87.0|31.9%|ELEMENTARY|SCHOOL DISTRICT|126 WEST STATE ST|WELLSVILLE|NY|14895.0|"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
22601|ALLEGANY|WELLSVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|29.0|18%|40.0|24.8%|69.0|42.9%|MIDDLE/HIGH|SCHOOL DISTRICT|126 WEST STATE ST|WELLSVILLE|NY|14895.0|"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
22902|ALLEGANY|BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|59.0|16.6%|52.0|14.6%|111.0|31.3%|DISTRICT TOTAL|SCHOOL DISTRICT|100 SCHOOL ST|BOLIVAR|NY|14715.0|"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
22902|ALLEGANY|BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|26.0|11.6%|31.0|13.8%|57.0|25.4%|ELEMENTARY|SCHOOL DISTRICT|100 SCHOOL ST|BOLIVAR|NY|14715.0|"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
22902|ALLEGANY|BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|33.0|25.6%|19.0|14.7%|52.0|40.3%|MIDDLE/HIGH|SCHOOL DISTRICT|100 SCHOOL ST|BOLIVAR|NY|14715.0|"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
30101|BROOME|CHENANGO FORKS CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|83.0|14.3%|116.0|20%|199.0|34.4%|DISTRICT TOTAL|SCHOOL DISTRICT|1 GORDON DR|BINGHAMTON|NY|13901.0|"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
30101|BROOME|CHENANGO FORKS CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|51.0|15%|61.0|17.9%|112.0|32.8%|ELEMENTARY|SCHOOL DISTRICT|1 GORDON DR|BINGHAMTON|NY|13901.0|"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
30101|BROOME|CHENANGO FORKS CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|32.0|13.8%|55.0|23.7%|87.0|37.5%|MIDDLE/HIGH|SCHOOL DISTRICT|1 GORDON DR|BINGHAMTON|NY|13901.0|"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
30200|BROOME|BINGHAMTON CITY SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|383.0|19.6%|440.0|22.5%|823.0|42.1%|DISTRICT TOTAL|SCHOOL DISTRICT|164 HAWLEY ST|BINGHAMTON|NY|13901.0|"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
30200|BROOME|BINGHAMTON CITY SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|254.0|20.5%|264.0|21.3%|518.0|41.8%|ELEMENTARY|SCHOOL DISTRICT|164 HAWLEY ST|BINGHAMTON|NY|13901.0|"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
30200|BROOME|BINGHAMTON CITY SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|129.0|18.1%|176.0|24.6%|305.0|42.7%|MIDDLE/HIGH|SCHOOL DISTRICT|164 HAWLEY ST|BINGHAMTON|NY|13901.0|"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
30501|BROOME|HARPURSVILLE CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|72.0|20.8%|79.0|22.8%|151.0|43.6%|DISTRICT TOTAL|SCHOOL DISTRICT|54 MAIN ST|HARPURSVILLE|NY|13787.0|"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
30501|BROOME|HARPURSVILLE CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|51.0|24.5%|42.0|20.2%|93.0|44.7%|ELEMENTARY|SCHOOL DISTRICT|54 MAIN ST|HARPURSVILLE|NY|13787.0|"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
30501|BROOME|HARPURSVILLE CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|21.0|15.2%|37.0|26.8%|58.0|42%|MIDDLE/HIGH|SCHOOL DISTRICT|54 MAIN ST|HARPURSVILLE|NY|13787.0|"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
30601|BROOME|SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|85.0|16.6%|97.0|19%|182.0|35.6%|DISTRICT TOTAL|SCHOOL DISTRICT|1040 CONKLIN RD|CONKLIN|NY|13748.0|"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
30601|BROOME|SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|46.0|15.6%|51.0|17.3%|97.0|33%|ELEMENTARY|SCHOOL DISTRICT|1040 CONKLIN RD|CONKLIN|NY|13748.0|"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
30601|BROOME|SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|39.0|18.1%|46.0|21.3%|85.0|39.4%|MIDDLE/HIGH|SCHOOL DISTRICT|1040 CONKLIN RD|CONKLIN|NY|13748.0|"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
30701|BROOME|CHENANGO VALLEY CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|88.0|15.1%|114.0|19.5%|202.0|34.6%|DISTRICT TOTAL|SCHOOL DISTRICT|221 CHENANGO BRIDGE RD|BINGHAMTON|NY|13901.0|"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
30701|BROOME|CHENANGO VALLEY CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|46.0|13.9%|56.0|16.9%|102.0|30.7%|ELEMENTARY|SCHOOL DISTRICT|221 CHENANGO BRIDGE RD|BINGHAMTON|NY|13901.0|"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
30701|BROOME|CHENANGO VALLEY CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|42.0|17%|58.0|23.5%|100.0|40.5%|MIDDLE/HIGH|SCHOOL DISTRICT|221 CHENANGO BRIDGE RD|BINGHAMTON|NY|13901.0|"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
31701|BROOME|WINDSOR CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|98.0|15.2%|126.0|19.6%|224.0|34.8%|DISTRICT TOTAL|SCHOOL DISTRICT|1191 NY RT 79|WINDSOR|NY|13865.0|"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
31701|BROOME|WINDSOR CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|54.0|13.9%|65.0|16.7%|119.0|30.6%|ELEMENTARY|SCHOOL DISTRICT|1191 NY RT 79|WINDSOR|NY|13865.0|"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
31701|BROOME|WINDSOR CENTRAL SCHOOL DISTRICT|NEW YORK - PENN|2012-2013|44.0|17.5%|61.0|24.2%|105.0|41.7%|MIDDLE/HIGH|SCHOOL DISTRICT|1191 NY RT 79|WINDSOR|NY|13865.0|"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
40302|CATTARAUGUS|ALLEGANY-LIMESTONE CSD|WESTERN NEW YORK|2012-2013|94.0|16.8%|91.0|16.3%|185.0|33.1%|DISTRICT TOTAL|SCHOOL DISTRICT|3131 FIVE MILE RD|ALLEGANY|NY|14706.0|"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
40302|CATTARAUGUS|ALLEGANY-LIMESTONE CSD|WESTERN NEW YORK|2012-2013|69.0|17.4%|56.0|14.1%|125.0|31.6%|ELEMENTARY|SCHOOL DISTRICT|3131 FIVE MILE RD|ALLEGANY|NY|14706.0|"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
40302|CATTARAUGUS|ALLEGANY-LIMESTONE CSD|WESTERN NEW YORK|2012-2013|25.0|15.3%|35.0|21.5%|60.0|36.8%|MIDDLE/HIGH|SCHOOL DISTRICT|3131 FIVE MILE RD|ALLEGANY|NY|14706.0|"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
40901|CATTARAUGUS|ELLICOTTVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|49.0|21.2%|40.0|17.3%|89.0|38.5%|DISTRICT TOTAL|SCHOOL DISTRICT|5873 RT 219|ELLICOTTVILLE|NY|14731.0|"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
40901|CATTARAUGUS|ELLICOTTVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|30.0|20.3%|23.0|15.5%|53.0|35.8%|ELEMENTARY|SCHOOL DISTRICT|5873 RT 219|ELLICOTTVILLE|NY|14731.0|"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
40901|CATTARAUGUS|ELLICOTTVILLE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|15.0|19.5%|15.0|19.5%|30.0|39%|MIDDLE/HIGH|SCHOOL DISTRICT|5873 RT 219|ELLICOTTVILLE|NY|14731.0|"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
41401|CATTARAUGUS|HINSDALE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|38.0|19.5%|33.0|16.9%|71.0|36.4%|DISTRICT TOTAL|SCHOOL DISTRICT|3701 MAIN ST|HINSDALE|NY|14743.0|"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
41401|CATTARAUGUS|HINSDALE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|24.0|17%|19.0|13.5%|43.0|30.5%|ELEMENTARY|SCHOOL DISTRICT|3701 MAIN ST|HINSDALE|NY|14743.0|"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
41401|CATTARAUGUS|HINSDALE CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|10.0|21.7%|14.0|30.4%|24.0|52.2%|MIDDLE/HIGH|SCHOOL DISTRICT|3701 MAIN ST|HINSDALE|NY|14743.0|"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
42400|CATTARAUGUS|OLEAN CITY SCHOOLS|WESTERN NEW YORK|2012-2013|153.0|19.6%|154.0|19.8%|307.0|39.4%|DISTRICT TOTAL|SCHOOL DISTRICT|410 W SULLIVAN ST|OLEAN|NY|14760.0|"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
42400|CATTARAUGUS|OLEAN CITY SCHOOLS|WESTERN NEW YORK|2012-2013|87.0|19.4%|85.0|18.9%|172.0|38.3%|ELEMENTARY|SCHOOL DISTRICT|410 W SULLIVAN ST|OLEAN|NY|14760.0|"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
42400|CATTARAUGUS|OLEAN CITY SCHOOLS|WESTERN NEW YORK|2012-2013|66.0|20%|69.0|20.9%|135.0|40.9%|MIDDLE/HIGH|SCHOOL DISTRICT|410 W SULLIVAN ST|OLEAN|NY|14760.0|"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
43001|CATTARAUGUS|RANDOLPH CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|49.0|15.6%|54.0|17.2%|103.0|32.8%|DISTRICT TOTAL|SCHOOL DISTRICT|18 MAIN ST|RANDOLPH|NY|14772.0|"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
43001|CATTARAUGUS|RANDOLPH CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|24.0|14.2%|25.0|14.8%|49.0|29%|ELEMENTARY|SCHOOL DISTRICT|18 MAIN ST|RANDOLPH|NY|14772.0|"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
43001|CATTARAUGUS|RANDOLPH CENTRAL SCHOOL DISTRICT|WESTERN NEW YORK|2012-2013|25.0|17.1%|29.0|19.9%|54.0|37%|MIDDLE/HIGH|SCHOOL DISTRICT|18 MAIN ST|RANDOLPH|NY|14772.0|"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
43200|CATTARAUGUS|SALAMANCA CITY SCHOOLS|WESTERN NEW YORK|2012-2013|83.0|15.7%|111.0|20.9%|194.0|36.6%|DISTRICT TOTAL|SCHOOL DISTRICT|50 IROQUOIS DR|SALAMANCA|NY|14779.0|"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
43200|CATTARAUGUS|SALAMANCA CITY SCHOOLS|WESTERN NEW YORK|2012-2013|54.0|15.1%|75.0|21%|129.0|36.1%|ELEMENTARY|SCHOOL DISTRICT|50 IROQUOIS DR|SALAMANCA|NY|14779.0|"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
43200|CATTARAUGUS|SALAMANCA CITY SCHOOLS|WESTERN NEW YORK|2012-2013|29.0|17.2%|36.0|21.3%|65.0|38.5%|MIDDLE/HIGH|SCHOOL DISTRICT|50 IROQUOIS DR|SALAMANCA|NY|14779.0|"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
50301|CAYUGA|WEEDSPORT CENTRAL SCHOOL DISTRICT|CENTRAL NEW YORK|2012-2013|44.0|15.8%|49.0|17.6%|93.0|33.5%|DISTRICT TOTAL|SCHOOL DISTRICT|2821 E BRUTUS ST|WEEDSPORT|NY|13166.0|"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
50301|CAYUGA|WEEDSPORT CENTRAL SCHOOL DISTRICT|CENTRAL NEW YORK|2012-2013|25.0|14.9%|27.0|16.1%|52.0|31%|ELEMENTARY|SCHOOL DISTRICT|2821 E BRUTUS ST|WEEDSPORT|NY|13166.0|"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
50301|CAYUGA|WEEDSPORT CENTRAL SCHOOL DISTRICT|CENTRAL NEW YORK|2012-2013|16.0|15%|22.0|20.6%|38.0|35.5%|MIDDLE/HIGH|SCHOOL DISTRICT|2821 E BRUTUS ST|WEEDSPORT|NY|13166.0|"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
50401|CAYUGA|CATO MERIDIAN CENTRAL SCHOOL DISTRICT|CENTRAL NEW YORK|2012-2013|33.0|8.6%|49.0|12.8%|82.0|21.5%|DISTRICT TOTAL|SCHOOL DISTRICT|2851 NYS RT 370|CATO|NY|13033.0|"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
